[2025-09-18 13:55:02] [INFO] Initializing advanced wordlists...
[2025-09-18 13:55:02] [INFO] Generated directory wordlist with 53 entries
[2025-09-18 13:55:02] [INFO] Generated username wordlist with 18 entries
[2025-09-18 13:55:02] [INFO] Generated password wordlist with 14 entries
[2025-09-18 13:55:02] [INFO] Generated credential wordlist with 252 entries
[2025-09-18 13:55:02] [INFO] Generated additional wordlist with 772 entries
[2025-09-18 13:55:02] [INFO] Initializing advanced payloads...
[2025-09-18 13:55:02] [INFO] Generated 75 sql_injection payloads
[2025-09-18 13:55:02] [INFO] Generated 101 xss payloads
[2025-09-18 13:55:02] [INFO] Generated 149 command_injection payloads
[2025-09-18 13:55:02] [INFO] Generated 49 ssti payloads
[2025-09-18 13:55:02] [INFO] Generated 58 path_traversal payloads
[2025-09-18 13:55:02] [INFO] Generated 42 xxe payloads
[2025-09-18 13:55:02] [INFO] Generated 94 ssrf payloads
[2025-09-18 13:55:02] [INFO] Generated 30 ldap_injection payloads
[2025-09-18 13:55:02] [INFO] Generated 23 nosql_injection payloads
[2025-09-18 13:55:02] [INFO] Generated 62 xpath_injection payloads
[2025-09-18 13:55:02] [INFO] Generated 52 crlf_injection payloads
[2025-09-18 13:55:02] [INFO] Generated 61 http_header_injection payloads
